date,list,name,ticker,close,rs63,r21,rsi,pctB,atrPct,vol,dHigh20,taken,result_R,note
2026-06-15,momentum,SSAB,SSAB-A.ST,102.80,37.21,21.60,76.31,0.98,2.52,0.48,-0.48
2026-06-15,momentum,Autoliv,ALIV-SDB.ST,1226.00,21.92,13.00,62.44,0.79,2.18,0.32,-0.41
2026-06-15,momentum,Evolution,EVO.ST,725.80,19.07,11.63,63.24,0.95,2.26,0.50,-2.79
2026-06-15,momentum,ABB,ABB.ST,984.20,18.99,0.04,43.79,0.50,2.57,0.49,-3.75
2026-06-15,momentum,SKF,SKF-B.ST,249.70,5.62,10.05,54.50,0.83,2.83,0.50,-1.38
2026-06-15,squeeze,Investor,INVE-B.ST,382.75,4.90,5.01,49.82,0.72,1.63,0.50,-1.57
2026-06-15,squeeze,H&M,HM-B.ST,169.50,-8.88,5.57,64.60,0.98,2.27,0.64,-2.31
2026-06-15,squeeze,Swedbank,SWED-A.ST,345.80,1.13,7.03,53.26,0.84,1.66,0.82,-2.15
2026-06-15,squeeze,Sandvik,SAND.ST,392.90,0.34,11.08,53.19,0.96,2.76,0.42,-0.38
2026-06-15,weakest,Electrolux,ELUX-B.ST,30.13,-54.86,-39.88,52.46,0.59,6.59,0.17,-9.76
2026-06-15,weakest,Saab,SAAB-B.ST,512.10,-28.32,6.08,41.36,0.18,4.12,0.43,-12.46
2026-06-15,weakest,Hexagon,HEXA-B.ST,80.30,-23.45,9.99,35.86,0.15,3.07,0.20,-13.21
2026-06-16,momentum,SSAB,SSAB-A.ST,100.00,33.69,18.29,69.61,0.84,2.64,0.37,-2.39
2026-06-16,momentum,Evolution,EVO.ST,718.40,17.72,8.26,65.32,0.80,2.27,0.24,-2.58
2026-06-16,momentum,Autoliv,ALIV-SDB.ST,1175.00,17.02,8.29,50.42,0.50,2.40,0.20,-4.55
2026-06-16,momentum,ABB,ABB.ST,999.20,21.15,1.57,47.95,0.67,2.60,0.47,-2.28
2026-06-16,momentum,Atlas Copco,ATCO-A.ST,192.40,7.09,11.31,67.12,1.22,2.72,0.29,-0.72
2026-06-16,squeeze,Investor,INVE-B.ST,383.85,5.51,5.31,51.72,0.78,1.59,0.31,-1.03
2026-06-16,squeeze,Sandvik,SAND.ST,391.70,0.33,10.74,52.49,0.93,2.82,0.23,-1.38
2026-06-16,squeeze,Swedbank,SWED-A.ST,346.70,1.70,7.30,54.55,0.88,1.50,0.26,-0.89
2026-06-16,squeeze,Nordea,NDA-SE.ST,179.70,3.41,6.27,52.21,0.89,1.40,0.23,-1.16
2026-06-16,bounce,Ericsson,ERIC-B.ST,112.80,1.84,-4.45,32.93,0.12,3.60,0.36,-12.18
2026-06-16,weakest,Electrolux,ELUX-B.ST,28.09,-57.82,-43.95,44.48,0.32,7.13,0.66,-15.87
2026-06-16,weakest,Saab,SAAB-B.ST,511.70,-28.08,6.00,41.26,0.17,4.06,0.37,-12.53
2026-06-16,weakest,NIBE,NIBE-B.ST,35.46,-0.18,-15.33,30.13,0.22,2.68,0.61,-19.74
2026-06-17,momentum,SSAB,SSAB-A.ST,98.36,35.24,15.94,60.74,0.69,2.75,0.18,-4.78
2026-06-17,momentum,ABB,ABB.ST,1011.00,23.50,6.35,56.24,0.79,2.50,0.45,-1.12
2026-06-17,momentum,Atlas Copco,ATCO-A.ST,194.50,10.14,13.41,73.97,1.13,2.63,0.22,-0.10
2026-06-17,momentum,Sandvik,SAND.ST,396.50,6.84,9.96,63.81,1.00,2.69,0.22,-0.20
2026-06-17,momentum,Autoliv,ALIV-SDB.ST,1145.00,12.66,6.22,40.26,0.16,2.60,0.20,-7.29
2026-06-17,squeeze,Investor,INVE-B.ST,386.50,4.90,4.98,66.48,0.99,1.55,0.29,-0.60
2026-06-17,squeeze,Sandvik,SAND.ST,396.50,6.84,9.96,63.81,1.00,2.69,0.22,-0.20
2026-06-17,squeeze,Swedbank,SWED-A.ST,346.80,-0.74,4.81,62.02,0.81,1.63,0.38,-1.87
2026-06-17,squeeze,Nordea,NDA-SE.ST,179.30,0.90,3.58,57.81,0.78,1.37,0.22,-1.38
2026-06-17,weakest,Electrolux,ELUX-B.ST,27.64,-60.10,1.41,47.07,0.22,6.81,0.16,-17.22
2026-06-17,weakest,Tele2,TEL2-B.ST,175.05,-13.59,-5.94,51.22,0.30,1.91,0.09,-6.42
2026-06-17,weakest,Hexagon,HEXA-B.ST,83.52,-21.78,-0.99,47.01,0.47,3.07,0.35,-9.73
